CERT,NAME,CITY,STNAME,ZIP,ADDRESS,BKCLASS,CHARTER,ACTIVE,INSDATE,REGAGENT,ASSET,DEP,LATITUDE,LONGITUDE,WEBADDR
10597,TBO Bank,Orrick,Missouri,64077,113 E South Front St,NM,0,1,01/01/1934,,209807,180540,39.212440005137,-94.122178030257,www.tbobank.com
1060,Wood & Huston Bank,Marshall,Missouri,65340,27 E North St,NM,0,1,01/01/1934,,1207795,1059796,39.1216020095728,-93.1964020213096,www.woodhuston.com
10608,UNICO Bank,Mineral Point,Missouri,63660,625 Veterans Dr,NM,0,1,01/01/1934,,505773,457294,37.9239570013825,-90.7627939669242,www.unicobank.com
10618,BTC Bank,Bethany,Missouri,64424,3606 Miller St,NM,0,1,01/01/1934,,1476143,1086418,40.2646149882416,-94.0168490232978,btcbank.bank
10619,Hawthorn Bank,Jefferson City,Missouri,65101,132 E High St,NM,0,1,01/01/1934,,1920954,1547747,38.5759960201457,-92.171532973727,WWW.HAWTHORNBANK.COM
10623,State Bank of Missouri,Concordia,Missouri,64020,101 Nw 2nd St,NM,0,1,01/01/1934,,139136,127363,38.9900940139732,-93.5695060126342,http://www.gostatebank.com
10628,Preferred Bank,Rothville,Missouri,64676,205 Main St,NM,0,1,01/01/1934,,131010,121894,39.6535476286747,-93.0585637657929,mypfbank.com
10634,Pinnacle Bank,Lincoln,Nebraska,68508,1401 N St,NM,0,1,01/01/1934,,8566872,7539673,40.812228988303,-96.7008780020759,www.pinnbank.com
10635,The Bank of Steinauer,Steinauer,Nebraska,68441,215 Main St,NM,0,1,01/01/1934,,21970,19801,40.2073800005984,-96.2343199812967,www.bankofsteinauer.com
10637,First Central Bank,Cambridge,Nebraska,69022,623 Patterson St,NM,0,1,01/01/1934,,141809,118316,40.282882005108,-100.165771031829,http://www.firstcentral.com
10639,Flatwater Bank,Gothenburg,Nebraska,69138,900 Lake Ave,NM,0,1,01/01/1934,,333949,278244,40.928122001201,-100.162301007734,www.flatwater.bank
10641,Riverstone Bank,Eagle,Nebraska,68347,600 S 4th St,NM,0,1,01/01/1934,,537650,476945,40.8155470065845,-96.4302730357415,WWW.BANKRIVSERSTONE.COM
10643,Dundee Bank,Omaha,Nebraska,68132,5015 Underwood Ave,NM,0,1,01/01/1934,,841205,706161,41.2648049887572,-95.9912970084657,www.dundeebank.com
10647,American Exchange Bank,Elmwood,Nebraska,68349,151 N 4th St,SM,0,1,01/01/1934,,68152,53345,40.8426130101283,-96.2934419868018,www.aebank.com
10663,The Andover Bank,Andover,Ohio,44003,19 Public Sq,SM,0,1,01/01/1934,,586705,548925,41.6065579799966,-80.5723080134822,www.andover.bank
10667,Mabrey Bank,Bixby,Oklahoma,74008,14821 S Memorial Dr,SM,0,1,01/01/1934,,1853339,1574084,35.947723000286,-95.8855749740664,www.mabreybank.com
10672,The Exchange Bank,Skiatook,Oklahoma,74070,300 W Rogers Blvd,NM,0,1,01/01/1934,,154271,139065,36.3686773543919,-96.0056910762439,www.exb-ok.com
10674,Bank of Hydro,Hydro,Oklahoma,73048,146 W Main St,NM,0,1,01/01/1934,,165888,142996,35.5494133105702,-98.5777089908989,http://www.bankofhydro.com
10677,"Jonestown Bank and Trust Company, of Jonestown, Pennsylvania",Jonestown,Pennsylvania,17038,2 W Market St,NM,0,1,01/01/1934,,979414,826404,40.4133729824859,-76.4784419985853,www.jbt.bank
1068,Cass Commercial Bank,Des Peres,Missouri,63131,12412 Powerscourt Dr,SM,0,1,01/01/1934,,1322457,1106522,38.6071689886074,-90.4496700365328,www.cassbank.com
10685,Central Penn Bank & Trust,Mifflinburg,Pennsylvania,17844,250 E Chestnut St,NM,0,1,01/01/1934,,1243826,1105997,40.924196965491,-77.030500628534,www.mbtc.com
107,The Merchants & Planters Bank,Clarendon,Arkansas,72029,297 Madison St,NM,0,1,01/01/1934,,50459,46413,34.692617489348,-91.312024794199,
10704,Avana Bank,Abilene,Texas,79602,2118 S Treadaway Blvd,SM,0,1,01/01/1934,,37800,29165,32.4226049903885,-99.7366439922418,www.avana.bank
10709,Crossroads Bank,Yoakum,Texas,77995,406 W Grand Ave,NM,0,1,01/01/1934,,370921,339051,29.2898190157906,-97.1532810000485,www.crbanktx.com
10719,Peoples State Bank of Hallettsville,Hallettsville,Texas,77964,116 E 3rd St,NM,0,1,01/01/1934,,385546,351335,29.44421300173,-96.9425809927949,www.psbhallettsville.com
1073,Lindell Bank & Trust Company,St. Louis,Missouri,63139,6900 Clayton Ave,SM,0,1,01/01/1934,,937884,700606,38.63224575698,-90.304409894303,www.lindellbank.com
10741,Independence State Bank,Independence,Wisconsin,54747,23942 Senty Dr,NM,0,1,01/01/1934,,83891,72638,44.3664280113156,-91.592416178408,www.independencestatebank.com
10788,Illini State Bank,Oglesby,Illinois,61348,301 S Columbia Ave,SM,0,1,01/01/1934,,169824,125691,41.2929160060794,-89.0683960118649,http://www.illinistatebank.com
10791,Community Bank,Winslow,Illinois,61089,233 Carver St,NM,0,1,01/01/1934,,296576,198482,42.4929050134928,-89.7921850019098,www.cbcommunitybank.com
10799,First State Bank of Campbell Hill,Campbell Hill,Illinois,62916,114 W Front St,NM,0,1,01/01/1934,,158543,136315,37.9286721982365,-89.5496825543651,www.fsbch.com
10803,Dewey Bank,Dewey,Illinois,61840,2994 County Road 900 E,NM,0,1,01/01/1934,,31554,27707,40.3105789983229,-88.2890469898884,www.deweybank.com
10804,Du Quoin State Bank,Du Quoin,Illinois,62832,15 E Main St,SM,0,1,01/01/1934,,134369,123100,38.0111269922979,-89.2386990176694,www.duquoinstatebank.com
10809,First State Bank of Van Orin,Van Orin,Illinois,61374,27875 2600 E St,NM,0,1,01/01/1934,,43718,39244,41.551643865037,-89.3540164379804,http://vanorinbank.com
10816,Grand Rivers Community Bank,Grand Chain,Illinois,62941,260 S Main St,NM,0,1,01/01/1934,,17477,15548,37.2447890155539,-89.018873195415,www.grandriverscommunitybank.com
10820,State Bank of Industry,Industry,Illinois,61440,101 W Main St,NM,0,1,01/01/1934,,62018,53641,40.3273529886861,-90.6074389957858,www.statebankofindustry.com
